Person_ID,Name,Title,Institution,Start_Year,End_Year,Source,Notes
P001,Kassym-Jomart Tokayev,Deputy Foreign Minister,Ministry of Foreign Affairs (MFA),1992,1993,https://www.akorda.kz/en/president/president,
P001,Kassym-Jomart Tokayev,First Deputy Foreign Minister,Ministry of Foreign Affairs (MFA),1993,1994,https://www.akorda.kz/en/president/president,
P001,Kassym-Jomart Tokayev,Minister of Foreign Affairs,Ministry of Foreign Affairs (MFA),1994,1999,https://www.akorda.kz/en/president/president,
P001,Kassym-Jomart Tokayev,Deputy Prime Minister,Government of Kazakhstan (Balgimbayev Government),1999,1999,https://www.akorda.kz/en/president/president,
P001,Kassym-Jomart Tokayev,Prime Minister,Government of Kazakhstan (Tokayev Government),1999,2002,https://www.akorda.kz/en/president/president,
P001,Kassym-Jomart Tokayev,Minister of Foreign Affairs,Ministry of Foreign Affairs (MFA),2003,2007,https://www.akorda.kz/en/president/president,
P001,Kassym-Jomart Tokayev,Chairman of the Senate,Senate,2007,2011,https://www.akorda.kz/en/president/president,
P001,Kassym-Jomart Tokayev,Director-General,United Nations Office at Geneva (UNOG),2011,2013,,
P001,Kassym-Jomart Tokayev,Chairman of the Senate,Senate,2013,2019,https://www.akorda.kz/en/president/president,
P001,Kassym-Jomart Tokayev,President,Akorda,2019,2026,https://www.akorda.kz/en/president/president,
P001,Kassym-Jomart Tokayev,Chairman,Akorda,2022,2026,https://www.akorda.kz/en/president/president,
P002,Erlan Karin,Non-staff adviser to the Prime Minister,Government of Kazakhstan (Tasmagambetov Government),2002,2003,,"Year-only source data; government assignment/split based on researched cabinet transition dates, not an exact-date source."
P002,Erlan Karin,First Deputy Chairman,Republican Asar Party,2003,2004,,
P002,Erlan Karin,Adviser to Akim of Mangystau Region,Mangystau Region Akimat,2006,2008,https://www.akorda.kz/en/executive_office/executive_office_stucture/the-state-secretary-of-the-republic-of-kazakhstan,
P002,Erlan Karin,Secretary for Strategic Development,Nur Otan Party,2008,2013,,
P002,Erlan Karin,Director,Kazakhstan Institute for Strategic Studies,2014,2017,,
P002,Erlan Karin,Advisor to the President,Akorda,2019,2020,,
P002,Erlan Karin,Assistant to the President,Akorda,2020,2022,,
P002,Erlan Karin,State Counselor,Akorda,2022,Present,,
P002,Erlan Karin,State Secretary,Akorda,2022,2022,,
P003,Asel Zhubanyshevna Zhanasova,"Deputy Director, Digital Technologies Department",National Bank of Kazakhstan,2014,2016,https://www.akorda.kz/ru/zamestitel-rukovoditelya-administracii-prezidenta-respubliki-kazahstan-zhanasova-asel-zhubanyshevna-1011123,
P003,Asel Zhubanyshevna Zhanasova,Chairwoman of Board,National Management Holding Zerde JSC,2016,2017,https://www.akorda.kz/ru/zamestitel-rukovoditelya-administracii-prezidenta-respubliki-kazahstan-zhanasova-asel-zhubanyshevna-1011123,
P003,Asel Zhubanyshevna Zhanasova,Adviser to the Governor,Astana International Financial Centre (AIFC),2017,2018,https://www.akorda.kz/ru/zamestitel-rukovoditelya-administracii-prezidenta-respubliki-kazahstan-zhanasova-asel-zhubanyshevna-1011123,
P003,Asel Zhubanyshevna Zhanasova,Vice Minister of Trade and Integration,Ministry of Trade and Integration,2020,2022,https://primeminister.kz/en/hrpolitic/appointments/asel-zhanasova-naznachena-vice-ministrom-torgovli-i-integracii-rk-2062833,
P003,Asel Zhubanyshevna Zhanasova,Chair of the Management Board / CEO,Kazpost JSC,2022,2025,https://inbusiness.kz/ru/appointment/dose-zhanasova-asel-zhubanyshevna,
P003,Asel Zhubanyshevna Zhanasova,Adviser to the President,Akorda,2025,2025,https://www.akorda.kz/ru/rasporyazheniem-glavy-gosudarstva-zhanasova-asel-zhubanyshevna-naznachena-sovetnikom-prezidenta-respubliki-kazahstan-854212,
P003,Asel Zhubanyshevna Zhanasova,"Deputy Head of the Administration ""Akorda""",Akorda,2025,Present,https://www.akorda.kz/ru/zamestitel-rukovoditelya-administracii-prezidenta-respubliki-kazahstan-zhanasova-asel-zhubanyshevna-1011123,
P004,Yerzhan Zhiyenbayev,"Multiple Roles, Legal Affairs Dept",Government of Kazakhstan (Akhmetov (Daniyal) Government),2005,2007,https://www.akorda.kz/en/executive_office/executive_office_stucture/deputy-chief-of-staff-of-the-president-of-the-republic-of-kazakhstan-yerzhan-zhienbayev,"Year-only source data; government assignment/split based on researched cabinet transition dates, not an exact-date source. Split across Akhmetov (Daniyal)/Massimov I/Massimov II governments."
P004,Yerzhan Zhiyenbayev,"Multiple Roles, Legal Affairs Dept",Government of Kazakhstan (Massimov I Government),2007,2011,https://www.akorda.kz/en/executive_office/executive_office_stucture/deputy-chief-of-staff-of-the-president-of-the-republic-of-kazakhstan-yerzhan-zhienbayev,"Year-only source data; government assignment/split based on researched cabinet transition dates, not an exact-date source. Split across Akhmetov (Daniyal)/Massimov I/Massimov II governments."
P004,Yerzhan Zhiyenbayev,"Multiple Roles, Legal Affairs Dept",Government of Kazakhstan (Massimov II Government),2011,2012,https://www.akorda.kz/en/executive_office/executive_office_stucture/deputy-chief-of-staff-of-the-president-of-the-republic-of-kazakhstan-yerzhan-zhienbayev,"Year-only source data; government assignment/split based on researched cabinet transition dates, not an exact-date source. Split across Akhmetov (Daniyal)/Massimov I/Massimov II governments."
P004,Yerzhan Zhiyenbayev,"Deputy Head, Legislation, Defense and Law Enforcement Department",Government of Kazakhstan (Akhmetov (Serik) Government),2012,2013,https://www.akorda.kz/en/executive_office/executive_office_stucture/deputy-chief-of-staff-of-the-president-of-the-republic-of-kazakhstan-yerzhan-zhienbayev,"Year-only source data; government assignment/split based on researched cabinet transition dates, not an exact-date source."
P004,Yerzhan Zhiyenbayev,"Head, Legal Department",Government of Kazakhstan (Akhmetov (Serik) Government),2013,2014,https://www.akorda.kz/en/executive_office/executive_office_stucture/deputy-chief-of-staff-of-the-president-of-the-republic-of-kazakhstan-yerzhan-zhienbayev,"Year-only source data; government assignment/split based on researched cabinet transition dates, not an exact-date source. Split across Akhmetov (Serik)/Massimov III/Sagintayev governments."
